36021,蘆洲總站,未發車
36022,王爺廟口,未發車
36023,空中大學(中正路),未發車
36024,中原公寓,未發車
36025,蘆洲國小,未發車
36026,蘆洲監理站,未發車
36027,蘆洲派出所,未發車
36028,溪墘,未發車
36029,捷運徐匯中學站,未發車
36030,徐匯中學,未發車
36031,幸福市場,未發車
36032,建和新村,未發車
129828,捷運三和國中站,未發車
36033,三和國中,未發車
36034,格致中學(三和路),未發車
36036,厚德派出所,未發車<br><img border="0" src="bus1.gif"><font style="color:darkblue;">492-U5</font>
36038,德林寺(三和路),將到站
36039,龍門路口,將到站
36040,三安里,3分
36041,長壽西街口,3分
36042,長元西街口,4分
36043,正義重新路口,5分
36044,天台廣場,7分
36045,大同路口,8分
36046,中山藝術公園,9分
218023,捷運菜寮站,10分
36047,過圳街,10分<br><img border="0" src="bus1.gif"><font style="color:darkblue;">KKA-1070</font>
36048,三重區公所(過圳街),將到站
36049,三重稅捐分處,將到站
36050,菜寮(重陽路),3分
36051,集美國小,4分
36052,三重國民運動中心,5分
36053,三重中學,7分
36054,重安街口,8分
36055,臺北車站(忠孝),17分
36056,捷運善導寺站,19分<br><img border="0" src="bus1.gif"><font style="color:darkblue;">175-U7</font>
36057,華山文創園區,將到站
36058,忠孝國小,將到站
36059,臺北科技大學(忠孝),3分
36060,正義郵局,4分
36061,懷生國中,5分
36063,頂好市場,6分
36064,捷運忠孝敦化站,7分
36065,阿波羅大廈,8分
36066,交通部觀光署,10分
36067,捷運國父紀念館站(忠孝),10分
36068,聯合報,11分
36069,捷運市政府站,12分
36070,市立工農,14分
36071,捷運永春站(忠孝),15分
36072,捷運永春站(松山),17分
36073,雙永國小,18分
36074,永吉松山路口,18分
36075,松山車站(松山),20分
